timestamp,open,high,low,close,volume
2025-11-25T09:15:00,58400,58500,58300,58450,10000
2025-11-25T09:30:00,58450,58550,58400,58500,12000
2025-11-25T09:45:00,58500,58620,58450,58580,20000
2025-11-25T10:00:00,58580,58650,58500,58600,18000
2025-11-25T10:15:00,58600,58700,58550,58650,15000
2025-11-25T10:30:00,58650,58750,58600,58700,16000
2025-11-25T10:45:00,58700,58800,58650,58750,14000
2025-11-25T11:00:00,58750,58850,58700,58800,13000
2025-11-25T11:15:00,58800,58900,58750,58850,12000
2025-11-25T11:30:00,58850,58950,58800,58900,11000
2025-11-25T11:45:00,58900,59000,58850,58950,10000
2025-11-25T12:00:00,58950,59050,58900,59000,9500
2025-11-25T12:15:00,59000,59100,58950,59050,9000
2025-11-25T12:30:00,59050,59150,59000,59100,8500
2025-11-25T12:45:00,59100,59200,59050,59150,8000
2025-11-25T13:00:00,59150,59250,59100,59200,7500
2025-11-25T13:15:00,59200,59300,59150,59250,7000
2025-11-25T13:30:00,59250,59350,59200,59300,6500
2025-11-25T13:45:00,59300,59400,59250,59350,6000
2025-11-25T14:00:00,59350,59450,59300,59400,5500
2025-11-25T14:15:00,59400,59500,59350,59450,5000
2025-11-25T14:30:00,59450,59550,59400,59500,4500

